,protocol,domain_name,address,is_phished,long_url,having_@_symbol,redirection_//_symbol,prefix_suffix_seperation,sub_domains,shortening_service,domain_registration_length,dns_record,https_token,statistical_report
10,https,www.gulfshield.com,uploads/gallery/mankind/secure/fiscal/manual/mail/login/,yes,1,0,0,0,0,0,1,1,0,1
11,http,rodritol.com,components/kttm/dropbox/,yes,0,0,0,0,0,0,1,1,0,1
12,https,ecommerce-platforms.com,articles/top-6-ecommerce-platform-reviews-2012-shopify-volusion-bigcommerce-magento-bigcartel-3dcart,no,1,0,0,1,0,0,1,1,0,1
13,https,evercoin.com,,no,0,0,0,0,0,0,1,1,0,1
14,http,www.phishtank.com,phish_archive.php,no,0,0,0,0,0,0,1,1,0,1
15,http,mawar-abdrahim.co.id,kip/spacebox/,yes,0,0,0,1,0,0,1,1,0,1
16,http,jovan.soldatovic.org,css/google-manual/f6946ab165caf661256632b7502e7582/,yes,1,0,0,0,0,0,1,1,0,1
17,http,www.telesport-tv.com.ar,media/index.htm,yes,0,0,0,1,2,0,1,1,0,1
18,http,pixelpicturescorp.com,,yes,0,0,0,0,0,0,1,1,0,1
19,http,puertovarasflyfishing.com,chas,yes,0,0,0,0,0,0,1,1,0,1
20,http,www.ortakhatim.com,mukabele/106_107.htm,no,0,0,0,0,0,0,1,1,0,1
21,http,les-avertis.net,mlec/mlec.php,yes,0,0,0,1,0,0,1,1,0,1
22,http,www.rileysbrandhoney.com,online/asb/asb.co.nz/,yes,0,0,0,0,0,0,1,1,0,1
23,http,girlsneedhelp.info,docss/file/files/db/file.dropbox/form.php,yes,2,0,0,0,0,0,1,1,0,1
24,http,netflix.com,,no,0,0,0,0,0,1,1,1,0,1
25,http,mobile-free.metulwx.com,mobile/impaye/5739e346002526519df9d8623b9c854b/,yes,1,0,0,1,0,1,1,1,0,1
26,https,commons.wikimedia.org,wiki/commons:wiki_loves_monuments_2017_in_the_united_states,no,1,0,0,0,0,0,1,1,0,1
27,https,jobs.jobvite.com,careers/crowdstrike/job/obgg5fwm?__jvst=jobboard&__jvsd=linkedin,no,1,0,0,0,0,0,1,1,0,1
28,http,log-upgrade-helpdata-isetting-data-us.akunnet.com,up/verification/7na1n7878n0b27m71d15/qes.php,yes,1,0,0,1,0,1,1,1,0,1
29,http,ovodfurnituremakers.com,wp-yahoo/t/y1.html,yes,0,0,0,0,0,0,1,1,0,1
30,http,kochsfarmservice.com,form-manager/hooks/account.htm,yes,2,0,0,0,0,0,1,1,0,1
31,http,www.ito.org.tr,wps/portal,no,0,0,0,0,2,0,1,1,0,1
32,http,www.confirmation-pages61549.com,verification17/payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,1,0,0,1,1,0,1
33,http,parkerplacement.co.za,wp-admin/maint/identify.php,yes,2,0,0,0,0,1,1,1,0,1
34,http,ddarko.org,,no,0,0,0,0,0,0,1,1,0,1
35,http,mateos.pl,bomiko_s/ajax/grid/fd/adeb/adobe.php,yes,0,0,0,0,0,0,1,1,0,1
36,http,bit.ly,2qczflx,yes,0,0,0,0,0,1,1,1,0,1
37,https,forms.hubspot.com,uploads/form/v2/2255223/bb1e9855-564e-4435-8fdd-6e83398716a4,no,1,0,0,0,0,1,1,1,0,1
38,http,www.ssbinterviewcoaching.com,at/at/indexxatt.htm,yes,2,0,0,0,0,0,1,1,0,1
39,http,ournepal.info,wordpress/wp-admin/natwest/natinfo.htm,yes,2,0,0,0,0,0,1,1,0,1
40,http,castlerealty.net,pdf_document/drive/input/input/google/oods/oods/oods/oods/gdoc/filewords/index.php,yes,1,0,0,0,0,0,1,1,0,1
41,http,ebay.net.ua,catalog/show/300536646261,yes,0,0,0,0,0,0,1,1,0,1
42,http,untroubled.org,spam/,no,0,0,0,0,0,0,1,1,0,1
43,http,www.unidoors-torg.by,image/wells/wellsfargo/clients/confirm.html,yes,2,0,0,1,0,0,1,1,0,1
44,http,bharatlitho.com,secure.bharatlitho.com/v3/wellsfargo-login-error.html,yes,1,0,0,0,0,0,1,1,0,1
45,http,floksi.ru,"svc/ad0f629b0fa7b0fc8aafc81f0e83a299/?.verify?service=mail&base64,pgh0bww%20dqo8c3r5bgu%20igjvzhkgeybtyxjnaw46ida7ig92zxjmbg93oiboawrkzw47ih0gpc9zdhlszt4nciagpglmcmft=&charset=utf-8&data:text/html=&login=",yes,1,0,0,0,0,0,1,1,0,1
46,http,craftingforwellness.org,web/mpp/update/websc-carding.php,yes,2,0,0,0,0,0,1,1,0,1
47,https,cofounderslab.com,notification/593efcd668161c8f318b4567,no,2,0,0,0,0,0,1,1,0,1
48,http,www.hurriyet.com.tr,yazarlar/abdulkadir-selvi/1-mart-tutanaklari-aciklansin-cagrisi-40591464,no,1,0,0,0,2,1,1,1,0,1
49,https,cvlc-victoria.org,wells/wellsfargo/confirmsecurity.html,yes,2,0,0,1,0,0,1,1,0,1
50,http,www.gulfshield.com,uploads/banners/dss/robert/secure/checker/mail/115989a6ad2727c39158c57fb2d71536/,yes,1,0,0,0,0,0,1,1,0,1
51,http,signin.amazon.co.uk-prime.form-unsuscribe.id-6554.naturalsoap.com.au,id/ap/,yes,1,0,0,1,1,0,1,1,0,1
52,http,barenthi-wertisob.tk,main/index.html,yes,0,0,0,1,0,0,1,1,0,1
53,http,org.coloradomesa.edu,~rbasnet/research/detectionofphishingattacks.pdf,no,1,0,0,0,0,0,1,1,0,1
54,http,fifththirdonlinebankingservice.capacreativeacademypa.com.au,9c5fee52da739542730b967bb35d8c21/confrm.html,yes,1,0,0,0,2,0,1,1,0,1
55,http,www.caltrain.com,schedules/weekdaytimetable.html,no,2,0,0,0,0,0,1,1,0,1
56,http,generalvladimir.ru,wp-admin/ooomaksim/loginxfinity-www.html?info=4624g80a13c0db1f8e263663d3faee8d195a86e1d217942f7415cf1b4a661698,yes,1,0,0,0,0,0,1,1,0,1
57,http,www.alindad.altervista.org,773/index.php,yes,0,0,0,0,2,0,1,1,0,1
58,http,www.musemagazine.it,wp-content/uploads/2017/02/x120-1400x913.jpg.pagespeed.ic.2jibtl4iz7.jpg,no,1,0,0,0,0,0,1,1,0,1
59,http,juliepagemakeup.com,cm.php,yes,0,0,0,0,0,0,1,1,0,1
60,http,timelinefilmscreation.com,fundx/att/attiinnddeexx.php,yes,2,0,0,0,0,0,1,1,0,1
61,http,www.evliligim.com,hukuksal-evlilik-planlama/yurtdisinda-evlilik.html,no,2,0,0,0,0,0,1,1,0,1
62,http,facebook.com,,no,0,0,0,0,0,0,1,1,0,1
63,https,accounts.google.com,accountchooser?service=wise&continue=https,no,1,0,0,0,0,0,1,1,1,1
64,http,www.apostille.net,state-of-california-apostille.html,no,2,0,0,0,0,0,1,1,0,1
65,https,clarity.fm,questions/838/answers/2444,no,0,0,0,0,0,0,1,1,0,1
66,http,www.mlsecproject.org,,no,0,0,0,0,0,0,1,1,0,1
67,http,tracking.content-recommendation.net,hurriyet.com.tr/click.html?category=hurriyet.com.tr&destination=hurriyet.com.tr%24text%246be15fe6883e1914f443b45fed18416104ab59ddf19252f6bd5d30909c70b1a8&destination_url=http%3a%2f%2fwww.hurriyet.com.tr%2fbenim-babam-iskenceci-polisti-40497263&source=hurriyet.com.tr%24text%248bfceee837b63a8a17810e93dc3df8a7aac998cf6ce5711024f42aa335b5fc73&type=semantic&url=http%3a%2f%2fwww.hurriyet.com.tr%2fdemirtas-mahkemeye-cikmayi-reddetti-40512469&widget=ra2aw2,no,1,0,0,1,0,1,1,1,1,1
68,https,ankiweb.net,study/,no,0,0,0,0,0,0,1,1,0,1
69,http,www.confirmation-pages61549.com,verification17/recovery-chekpoint-login-1.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,1,0,0,1,1,0,1
70,http,www.scuolasci-dolomiti.it,includes/usaa/verification/17d79m1382ccb69539m0/question.php,yes,1,0,0,1,0,0,1,1,0,1
71,http,tmsf.gov.tr,,no,0,0,0,0,0,0,1,1,0,1
72,http,abeate.ml,scotia/step3.php,yes,0,0,0,0,0,0,1,1,0,1
73,http,germanyniubianpills.net,adobe_data/data/data/,yes,0,0,0,0,0,0,1,1,0,1
74,http,yah-online.csbnk.info,home/index2.php,yes,0,0,0,1,0,0,1,1,0,1
75,http,tdk.gov.tr,,no,0,0,0,0,0,0,1,1,0,1
76,http,g3i9prnb.myutilitydomain.com,scan/10bc3726649e19df38f13703dbf5ad38/,yes,2,0,0,0,0,0,1,1,0,1
77,http,daddyospizzasubs.com,office/admin/office/sign-in.php?rand=13inboxlightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13inboxlight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=y2hyaxnaymv4zw5ncmf2aw5nlmnvbq==&.rand=13inboxlight.aspx?n=1774256418&fid=4,yes,1,0,0,0,0,0,1,1,0,1
78,https,providence.net.cpsee.frontend.com.xtroil.com,index/confirm.php?cmd=login_submit&id=a01aca75b5f9a5379f247f33b2e1d0e1a01aca75b5f9a5379f247f33b2e1d0e1&session=a01aca75b5f9a5379f247f33b2e1d0e1a01aca75b5f9a5379f247f33b2e1d0e1,yes,1,0,0,0,1,0,1,1,0,1
79,https,moodle.org,,no,0,0,0,0,0,0,1,1,0,1
80,http,log-upgrade-helpdata-isetting-data-us.akunnet.com,up/verification/6d66c5bn46416e443611/card.php,yes,1,0,0,1,0,1,1,1,0,1
81,http,www.bbc.co.uk,,no,0,0,0,0,2,0,1,1,0,1
82,http,www.confirmation-pages-recover.com,verification/recovery-chekpoint-login-1.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,1,0,0,1,1,0,1
83,http,www.orange-bureau-business.com,modules/mod-orange-web/7b84399cff9a28fddd32fdc6f8d67a17/,yes,1,0,0,1,0,0,1,1,0,1
84,http,web.mit.edu,seyda/www/contact.html,no,0,0,0,0,0,0,1,1,0,1
85,http,ipwhois.readthedocs.io,en/latest/readme.html#api,no,2,0,0,0,0,0,1,1,0,1
86,http,archive.ics.uci.edu,ml/,no,0,0,0,0,2,0,1,1,0,1
87,https,console.aws.amazon.com,console/home?&state=hashargs%23,no,2,0,0,0,2,0,1,1,0,1
88,http,pogoplug.com,,no,0,0,0,0,0,0,1,1,0,1
89,http,priact.org,write/18134a41a328846ca49e4a72453acf26/confirm.html,yes,2,0,0,0,0,0,1,1,0,1
90,https,nadasy005.000webhostapp.com,payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,0,0,0,1,1,0,1
91,http,www.webmail2m-orange.com,takuma/3a5e0764765074c7d752971c1035b6bb/,yes,2,0,0,1,0,0,1,1,0,1
92,http,vidracariaar.com.br,wp-includes/simplepie/parse/bankaway/by/cardverification.html,yes,1,0,0,0,0,0,1,1,0,1
93,http,www.sultantrafik.com,vekaletname-ornegi.php,no,0,0,0,0,0,0,1,1,0,1
94,https,10.64.0.10,user/guest_tou.jsp?cookie=&redirecturl=https%3a%2f%2futilitiesinfo.conservice.com%2fdashboard.aspx,no,1,0,0,0,2,0,1,1,1,1
95,https,medium.com,@dfisek/yapmak-ya-da-yapmay%c4%b1-bildi%c4%9fini-d%c3%bc%c5%9f%c3%bcnmek-d6757a3b1b6e,no,1,1,0,0,0,0,1,1,0,1
96,http,www.adancingthiead.com,ll/gdoc/6cd344beb1bd5609bb400d485f24f63d/,yes,2,0,0,0,0,0,1,1,0,1
97,https,secure-2017.000webhostapp.com,payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,1,0,0,1,1,0,1
98,http,etymonline.com,index.php?allowed_in_frame=0&search=ayran,no,2,0,0,0,0,0,1,1,0,1
99,http,www.phishtank.com,login.php?displayform=true,no,0,0,0,0,0,0,1,1,0,1
100,http,tdk.gov.tr,index.php?option=com_gts&arama=gts&guid=tdk.gts.597a8edabab030.48578982,no,1,0,0,0,0,0,1,1,0,1
101,http,moviesilk.com,?do=search&q=link+or+virtuality,no,0,0,0,0,0,0,1,1,0,1
102,https,customer.xfinity.com,apis/bill/statement/dc7bdkmwaadqv3gtyjnxckgmw4szhlgibdc1tgw10x399r7giyq8for9laajgqo01iyuvco2z7elchcynocuunrwly_rhovxj6xwqzcvj4dzkham-ugjou4azrxcgj3w5phzjng2wp35wfiddunizvuspizfmxcy0trfplyxxgx59hta-d8mdjooj7pc-xuzzfek9bgrhw?uaid=9c042b884d3746ffbf21e19b68ed2a41,no,1,0,0,0,0,0,1,1,0,1
103,https,console.aws.amazon.com,console/home,no,0,0,0,0,2,0,1,1,0,1
104,https,gist.github.com,debrice/a34563fb078d9d2d15e8,no,0,0,0,0,0,0,1,1,0,1
105,https,ar.al,,no,0,0,0,0,0,0,1,1,0,1
106,http,uf35.ru,templates/beez_20/images/fib/fib/finaly/cgibin/ucc/pross/cmd=/secc/esp/web/billing.html?cmd=step2&dispatch=ce82062aa5dd7e94f84f9d,yes,1,0,0,0,0,0,1,1,0,1
107,http,santaverena.org,,no,0,0,0,0,0,0,1,1,0,1
108,http,www.phishtank.com,stats.php,no,0,0,0,0,0,0,1,1,0,1
109,https,northlandwoodworksinc.com,wp-admin/wp-signal/china/index.php?login=info%40takeofftexile.com,yes,1,0,0,0,0,0,1,1,0,1
110,https,login.mailchimp.com,?_ga=2.3914616.971144724.1498784036-1644141486.1498784036&wcookie=eb1624b3db93f206b22a,no,1,0,0,0,0,0,1,1,0,1
111,http,fizikdefteri.com,googledocs/,yes,0,0,0,0,0,0,1,1,0,1
112,http,time.com,4946859/worlds-biggest-airport-beijing-opening/,no,2,0,0,0,0,0,1,1,0,1
113,https,customer.xfinity.com,#/billing/past-statements,no,2,0,0,0,0,0,1,1,0,1
114,https,docs.python.org,2/library/functions.html#float,no,2,0,0,0,0,0,1,1,0,1
115,http,consulteplat-001-site1.btempurl.com,,yes,0,0,0,1,0,0,1,1,0,1
116,http,www.mgmforex.com,wp-includes/js/vestecso/02ef9d9307c5b9b985f93866ef751bcb/,yes,1,0,0,0,0,1,1,1,0,1
117,http,berkahjaya.id,news/gdoccc/,yes,0,0,0,0,0,0,1,1,0,1
118,http,coltservicos.com.br,new/match/index.htm,yes,0,0,0,0,0,0,1,1,0,1
119,https,m.pge.com,?wt.pgeac=nav_youraccountres#myaccount/dashboard/,no,2,0,0,0,0,0,1,1,0,1
120,http,www.rileysbrandhoney.com,online/asb/asb.co.nz,yes,0,0,0,0,0,0,1,1,0,1
121,http,barodig-sanajan.tk,main/index.html,yes,0,0,0,1,0,0,1,1,0,1
122,https,jobs.cisco.com,jobs/myopenjobs,no,0,0,0,0,0,0,1,1,0,1
123,http,www.s-lex.pl,en/home/verification/verification.php,yes,2,0,0,1,0,0,1,1,0,1
124,http,veloxy.io,,no,0,0,0,0,0,0,1,1,0,1
125,http,verifi-clients.com,cibc/authentication.php?login?session;1b89a0d073f24b25d0cdc97f5b4959351b89a0d073f24b25d0cdc97f5b495935,yes,1,0,0,1,0,0,1,1,0,1
126,http,mastergeminis.com,atyed/att/attiinnddeexx.php,yes,0,0,0,0,0,0,1,1,0,1
127,https,console.soracom.io,#/signup,no,0,0,0,0,0,0,1,1,0,1
128,http,www.schifrin.com,,no,0,0,0,0,0,0,1,1,0,1
129,http,stuher.cl,bin/gd/,yes,0,0,0,0,0,0,1,1,0,1
130,http,www.ptsy.eu,fr_fr/2bec26e880aace64d987fb1507b9fcfe/,yes,2,0,0,0,0,0,1,1,0,1
131,http,buchislaw.com,chestnut/index.php,yes,0,0,0,0,0,0,1,1,0,1
132,https,googleads.g.doubleclick.net,aclk?sa=l&ai=c_e4qjmkkwf_wnyq3kgomij7ackxvnbefjdzcup8cpp6tjwsqbicy0jkqkahgye7rhocaobniaqgoawhia8eeqgskau_qzov8wviajetks5zjsruy7g3ckogon0lmrhtizam1iw-vesvalyrjycnbjifixpolxjae5vfpblz0bzoc0lfcgjqmc6sr6ugpavufjjttgc2tvbao_hrqmtd3nnsv-_k-saju9j2wvbdxwewq5o1y48rx7pxqtykk2wtxnxzh9ausgykjy4al5pageywooprn8zied4wrbwmdef8nn0ew3kgwoazfwaylgafl9-i1qaevyhuob93kg6ghpr4b2acb0gghcibheaeyag&num=6&sig=aod64_2tgaqcdppn_qxwnppnh6ig8dwcyw&mb=1&bg=!7u2l7fvedh7gepucu_ucaaaag1iaaaaemqervaz0ho3kzmcf5jipkyqk6jurjdvaimgeb0u3ic68smw9o9cn4gcitj_nrbmlfrml_rwzrdjesnhqotlcv1q-rjrgony_lzpiacl148_aktzbrtmdgyxbxb5pcbxk5sonhqlega5bswruwcqgaqphs0croutlolkgtzs-zyhwt_fthteo020rogfhwo1iivxrxxrqdxnl5xbaai8j209dkquuibu6vp4fsrcy6wd4cdfmbcupzplg87v8nvrifxrcje4xlfwd0vng7exikis5kz1hjqbc5zqockmmgbv79vmcs73rfmpmem0fepbqrrw2ej1kdevcwn-zw0s9vz0f2humaqexfxqos1_p1j0qcn9u2_jficthoojesds2kaj3durao1mhbuugw0y&adurl=http,no,1,0,0,0,2,0,1,1,1,1
133,http,saralaska.org,grafiks/gdoc-secure/b78487012a2519f97133a7dcd027c8f3,yes,2,0,0,0,0,0,1,1,0,1
134,http,dercocenteryusic.cl,libraries/domit/mobi/update.php,yes,2,0,0,0,0,0,1,1,0,1
135,http,www.dkakademija.lt,maidonatello/6d218b637aaa309c210d7a86059de41b/,yes,2,0,0,0,0,0,1,1,0,1
136,http,inforcept.com,,no,0,0,0,0,0,1,1,1,0,1
137,http,archive.ics.uci.edu,ml/datasets/heart+disease,no,0,0,0,0,2,0,1,1,0,1
138,http,alexa.com,,no,0,0,0,0,0,0,1,1,0,1
139,https,go.recordedfuture.com,machine-learning,no,0,0,0,0,0,0,1,1,0,1
140,http,www.servinauticbalear.com,don/fidelity-loooo-update000000/secure/verify.php,yes,1,0,0,0,0,0,1,1,0,1
141,https,www.clinicagodrricardo.com.br,wp-content/confirmation/netbankingsessionupdate/bankaway/by/details.html,yes,1,0,0,0,2,0,1,1,0,1
142,http,www.e-ama.org,,no,0,0,0,1,0,0,1,1,0,1
143,http,ameri.zzz.com.ua,american/,yes,0,0,0,0,2,0,1,1,0,1
144,http,www.caltrain.com,,no,0,0,0,0,0,0,1,1,0,1
145,http,www.servinauticbalear.com,don/fidelity-loooo-update000000/secure/final.php,yes,1,0,0,0,0,0,1,1,0,1
146,http,kuriobaba.com,update/confirm.html,yes,0,0,0,0,0,0,1,1,0,1
147,http,info5272ni770.000webhostapp.com,payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes,1,0,0,0,0,0,1,1,0,1
148,http,www.skf-fag-bearings.com,imager/9d580b8d30672ed437c932e4447caf46/login.php?cmd=login_submit,yes,1,0,0,1,0,0,1,1,0,1
149,http,fincalabella.com,uooow/manage/,yes,0,0,0,0,0,0,1,1,0,1
150,http,hostingdomein.000webhostapp.com,inloggen.html,yes,0,0,0,0,0,0,1,1,0,1
151,https,logrhythm.com,blog/a-technical-analysis-of-wannacry-ransomware/,no,2,0,0,0,0,0,1,1,0,1
152,https,bitcoin.org,en/developer-guide#block-chain,no,0,0,0,0,0,0,1,1,0,1
153,http,daoudilorin11.mystagingwebsite.com,wp-content/plugins/ubh/acc/dir/37908/dir/col.php?cmd=_account-details&session=34489e63b0ce304e239caeefb874efe8&dispatch=fac23dc13afbd8b8caaaf9c94db1415a1d78bb28,yes,1,0,0,0,0,0,1,1,0,1
154,http,encore.mountainview.gov,iii/encore/search?formids=target&lang=eng&suite=def&reservedids=lang%2csuite&submitmode=&submitname=&target=honeypot,no,1,0,0,0,0,0,1,1,0,1
155,http,realworld.io,,no,0,0,0,0,0,0,1,1,0,1
156,http,jtbconst.com,css/drive/verify.php,yes,0,0,0,0,0,1,1,1,0,1
157,https,assets.hcch.net,upload/abc12e.pdf,no,0,0,0,0,0,0,1,1,0,1
158,https,infoway.com.tr,infoway/pure-storage/,no,0,0,0,0,0,0,1,1,0,1
159,http,mqtt.org,documentation,no,0,0,0,0,0,0,1,1,0,1
160,http,www.protek.com.mx,sblock/com/att/indexxatt.htm,yes,0,0,0,0,2,0,1,1,0,1
161,https,docs.google.com,document/u/0/?authuser=0&usp=docs_web,no,2,0,0,0,0,0,1,1,0,1
162,http,www.karar.com,yazarlar/yildiray-ogur/gorunurde-suc-unsuruna-rastlanilmayan-4959,no,1,0,0,0,0,0,1,1,0,1
163,http,www.bobdylanart.com,standard-2017.asp,no,0,0,0,0,0,1,1,1,0,1
164,https,buff.ly,2vtyzft,no,0,0,0,0,0,0,1,1,0,1
165,http,lcckidspace.com,wp-includes/js/documento/,yes,0,0,0,0,0,0,1,1,0,1
166,https,www.adrianofreschi.com,wp-admin/user/myportal1.singtel.com/index.htm,yes,1,0,0,0,0,0,1,1,0,1
167,https,apply.ycombinator.com,,no,0,0,0,0,0,0,1,1,0,1
168,http,www.pavancaters.com,document/es,yes,0,0,0,0,0,0,1,1,0,1
169,https,www.elpaisvallenato.com,wp-includes/text/diff/engine/image/ap/email_error.php,yes,1,0,0,0,0,0,1,1,0,1
170,http,www.sozce.com,nedir,no,0,0,0,0,0,0,1,1,0,1
171,http,aluminum.in,bankofamerica/bankofamerica-login-error.html?cmd=signonv2screen.go_invalidcredentialsexception&id=24e500ecb0cf3cd4b7a79fa7b605d3c624e500ecb0cf3cd4b7a79fa7b605d3c6&session=24e500ecb0cf3cd4b7a79fa7b605d3c624e500ecb0cf3cd4b7a79fa7b605d3c6,yes,1,0,0,0,0,0,1,1,0,1
172,https,cvlc-victoria.org,wells/wellsfargo/confirm.html,yes,2,0,0,1,0,0,1,1,0,1
173,https,developer.mozilla.org,en-us/docs/web/api/request/url,no,2,0,0,0,0,0,1,1,0,1
174,https,drive.google.com,drive/?pli=1,no,0,0,0,0,0,0,1,1,0,1
175,http,ramenburgeranaketiga.com,bin/allieddirect/allieddirect/2ndverification.html,yes,1,0,0,0,0,0,1,1,0,1
176,https,chase.com-verify-account-information.entranceonline.org,verification/6c97c952mb7n128mn64b/card.php,yes,1,0,0,1,2,0,1,1,0,1
177,http,autobilan-chasseneuillais.fr,bretmrae/garyspeed/5c570b298a1c1b4ec206af4d7f507afd/,yes,1,0,0,1,0,0,1,1,0,1
178,http,tslimpact.com,wp-content/cache/config/regional/7d399a1c6c07405277f217d850c6d9e3/connexion.php,yes,1,0,0,0,0,1,1,1,0,1
179,http,docs.python-guide.org,en/latest/scenarios/scrape/,no,2,0,0,1,0,0,1,1,0,1
180,https,logrhythm.com,pdfs/partner-solution-briefs/lr-threat-intelligence-ecosystem-overview-partner-solution-brief.pdf,no,1,0,0,0,0,0,1,1,0,1
181,https,ppid.posokab.go.id,wp-includes/css/fidelity.com-secure.1/home/confirm.php,yes,1,0,0,0,2,0,1,1,0,1
182,http,www.keysncords.com,wp-content/themes/bnks/chase/chase/home/,yes,2,0,0,0,0,0,1,1,0,1
183,http,www.chicagotribune.com,entertainment/sns-rolling-stone-top-songs-pictures-photogallery.html,no,1,0,0,0,0,0,1,1,0,1
184,http,www.scuolasci-dolomiti.it,includes/usaa/verification/17d79m1382ccb69539m0/contact.php,yes,1,0,0,1,0,0,1,1,0,1
185,http,paypalvsgooglecheckout.com,fees/,yes,0,0,0,0,0,1,1,1,0,1
186,http,schwinnbikes.com,,no,0,0,0,0,0,0,1,1,0,1
187,https,careers.checkpoint.com,careers/index.php?m=careers&a=apply&joborderid=6503&source=3,no,1,0,0,0,0,1,1,1,0,1
188,http,careers.hpe.com,,no,0,0,0,0,0,0,1,1,0,1
189,http,sociesccuritiba.com.br,qq/,yes,0,0,0,0,0,0,1,1,0,1
190,https,mg.mail.yahoo.com,neo/launch?.rand=11eai3orq42dj,no,2,0,0,0,2,0,1,1,0,1
191,http,www.cowpapa.com,pp/amazon/verify.php,yes,0,0,0,0,0,0,1,1,0,1
192,http,dev1.redanchormedia.com,mans/online/asb.co.nz,yes,0,0,0,0,0,0,1,1,0,1
193,http,desbloquear-online.ml,,yes,0,0,0,1,0,0,1,1,0,1
194,http,www.rightrelevance.com,search/articles/hero?article=9ddd1c792908169137080cf7f2764d57d97d4669&query=data%20science&taccount=ml_toparticles,no,1,0,0,0,0,0,1,1,0,1
195,http,www.physicaltherapycoach.com,wp-includes/js/database/service/7d4f8c5c771a7d69b703d200a386c43a/,yes,1,0,0,0,0,0,1,1,0,1
196,http,arul.in,sevi/gd/,yes,0,0,0,0,0,0,1,1,0,1
197,http,www.losarcosmexicangrillsa.com,dropbox/doc/drpbx.html,yes,2,0,0,0,0,0,1,1,0,1
198,http,www.ivnta.org,about-ivnta/working-in-other-countries/united-states-of-america/,no,1,0,0,0,0,0,1,1,0,1
199,http,gw.hiden.co.th,error/space/ns2b/btitalia/ns2a/gtwpages/acrts/login.php,yes,1,0,0,0,2,0,1,1,0,1
200,http,www.graciayburillo.es,modules/mod_banners/mod4.1/,yes,2,0,0,0,0,0,1,1,0,1
201,http,www.bobdylanart.com,,no,0,0,0,0,0,1,1,1,0,1
